file_path,test_name,Final Classification,quantum_test
qiskit-algorithms/test/test_grover.py,test_sampler_setter,Classical,No
qiskit-algorithms/test/test_validation.py,test_validate_in_set,Classical,No
qiskit-algorithms/test/test_validation.py,test_validate_min,Classical,No
qiskit-algorithms/test/test_validation.py,test_validate_max,Classical,No
qiskit-algorithms/test/test_validation.py,test_validate_range,Classical,No
qiskit-algorithms/test/gradients/test_estimator_gradient.py,test_gradient_random_parameters,Classical,No
qiskit-algorithms/test/gradients/test_estimator_gradient.py,test_options,Classical,No
qiskit-algorithms/test/gradients/test_qgt.py,test_qgt_validation,Classical,No
qiskit-algorithms/test/gradients/test_qgt.py,test_options,Classical,No
qiskit-algorithms/test/gradients/test_sampler_gradient.py,test_gradient_parameters,Classical,No
qiskit-algorithms/test/gradients/test_sampler_gradient.py,test_gradient_multi_arguments,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_adam,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_cg,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_gradient_descent,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_cobyla,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_l_bfgs_b,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_p_bfgs,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_nelder_mead,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_powell,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_slsqp,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_spsa,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_tnc,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_gsls,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_scipy_optimizer,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_scipy_optimizer_callback,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_scipy_optimizer_parse_bounds,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_nlopt,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_scipy,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_independent_reconstruction,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_adam,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_aqgd,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_bobyqa,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_imfil,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_gradient_descent,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_gsls,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_spsa,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers.py,test_spsa_custom_iterators,Classical,No
qiskit-algorithms/test/optimizers/test_spsa.py,test_recalibrate_at_optimize,Classical,No
qiskit-algorithms/test/optimizers/test_spsa.py,test_learning_rate_perturbation_as_iterators,Classical,No
qiskit-algorithms/test/optimizers/test_spsa.py,test_learning_rate_perturbation_as_arrays,Classical,No
qiskit-algorithms/test/optimizers/test_spsa.py,test_termination_checker,Classical,No
qiskit-algorithms/test/optimizers/test_spsa.py,test_callback,Classical,No
qiskit-algorithms/test/optimizers/test_spsa.py,test_estimate_stddev,Classical,No
qiskit-algorithms/test/optimizers/test_spsa.py,test_point_sample,Classical,No
qiskit-algorithms/test/optimizers/test_optimizer_aqgd.py,test_list,Classical,No
qiskit-algorithms/test/optimizers/test_optimizer_aqgd.py,test_raises_exception,Classical,No
qiskit-algorithms/test/optimizers/test_optimizer_aqgd.py,test_max_grouped_evals_non_parallelizable,Classical,No
qiskit-algorithms/test/optimizers/test_adam.py,test_adam_max_evals,Classical,No
qiskit-algorithms/test/optimizers/test_gradient_descent.py,test_callback,Classical,No
qiskit-algorithms/test/optimizers/test_gradient_descent.py,test_minimize,Classical,No
qiskit-algorithms/test/optimizers/test_gradient_descent.py,test_no_start,Classical,No
qiskit-algorithms/test/optimizers/test_gradient_descent.py,test_start,Classical,No
qiskit-algorithms/test/optimizers/test_gradient_descent.py,test_ask,Classical,No
qiskit-algorithms/test/optimizers/test_gradient_descent.py,test_evaluate,Classical,No
qiskit-algorithms/test/optimizers/test_gradient_descent.py,test_tell,Classical,No
qiskit-algorithms/test/optimizers/test_gradient_descent.py,test_continue_condition,Classical,No
qiskit-algorithms/test/optimizers/test_gradient_descent.py,test_step,Classical,No
qiskit-algorithms/test/optimizers/test_gradient_descent.py,test_wrong_dimension_gradient,Classical,No
qiskit-algorithms/test/optimizers/test_umda.py,test_get_set,Classical,No
qiskit-algorithms/test/optimizers/test_umda.py,test_settings,Classical,No
qiskit-algorithms/test/optimizers/test_umda.py,test_minimize,Classical,No
qiskit-algorithms/test/optimizers/test_umda.py,test_callback,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers_scikitquant.py,test_bobyqa,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers_scikitquant.py,test_snobfit,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers_scikitquant.py,test_snobfit_missing_bounds,Classical,No
qiskit-algorithms/test/optimizers/test_optimizers_scikitquant.py,test_imfil,Classical,No
qiskit-algorithms/test/optimizers/utils/test_learning_rate.py,test_learning_rate,Classical,No
qiskit-algorithms/test/minimum_eigensolvers/test_adapt_vqe.py,test_cyclicity,Classical,No
qiskit-algorithms/test/minimum_eigensolvers/test_numpy_minimum_eigensolver.py,test_cme_reuse,Classical,No
qiskit-algorithms/test/minimum_eigensolvers/test_numpy_minimum_eigensolver.py,test_aux_operators_list,Classical,No
qiskit-algorithms/test/minimum_eigensolvers/test_numpy_minimum_eigensolver.py,test_aux_operators_dict,Classical,No
qiskit-algorithms/test/time_evolvers/test_pvqd.py,test_gradient_supported,Classical,No
qiskit-algorithms/test/time_evolvers/test_time_evolution_problem.py,test_init_default,Classical,No
